event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007on,54450.1255,17.969,0.089,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54453.13832,16.074,0.010,F,B,,,2010AJ....139..519C
SN2007on,54453.13832,15.151,0.009,F,V,,,2010AJ....139..519C
SN2007on,54453.13832,15.654,0.007,F,g,,,2010AJ....139..519C
SN2007on,54453.13832,15.012,0.011,F,i,,,2010AJ....139..519C
SN2007on,54453.13832,14.966,0.007,F,r,,,2010AJ....139..519C
SN2007on,54453.13832,17.110,0.031,F,u,,,2010AJ....139..519C
SN2007on,54454.14459,14.660,0.009,F,H,,,2010AJ....139..519C
SN2007on,54454.14459,15.723,0.024,F,J,,,2010AJ....139..519C
SN2007on,54454.14459,14.232,0.007,F,Y,,,2010AJ....139..519C
SN2007on,54454.1650,17.227,0.076,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54454.1664,16.383,0.067,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54454.1673,16.108,0.059,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54454.1688,18.165,0.090,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54454.1714,15.195,0.059,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54454.1725,18.084,0.097,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54455.11390,16.124,0.009,F,B,,,2010AJ....139..519C
SN2007on,54455.11390,15.226,0.008,F,V,,,2010AJ....139..519C
SN2007on,54455.11390,15.722,0.008,F,g,,,2010AJ....139..519C
SN2007on,54455.11390,15.112,0.011,F,i,,,2010AJ....139..519C
SN2007on,54455.11390,15.053,0.008,F,r,,,2010AJ....139..519C
SN2007on,54455.11390,17.180,0.034,F,u,,,2010AJ....139..519C
SN2007on,54456.15405,16.163,0.011,F,B,,,2010AJ....139..519C
SN2007on,54456.15405,14.799,0.014,F,H,,,2010AJ....139..519C
SN2007on,54456.15405,15.919,0.003,F,J,,,2010AJ....139..519C
SN2007on,54456.15405,17.610,0.053,F,K,,,2010AJ....139..519C
SN2007on,54456.15405,15.255,0.009,F,V,,,2010AJ....139..519C
SN2007on,54456.15405,14.365,0.005,F,Y,,,2010AJ....139..519C
SN2007on,54456.15405,15.745,0.007,F,g,,,2010AJ....139..519C
SN2007on,54456.15405,15.165,0.011,F,i,,,2010AJ....139..519C
SN2007on,54456.15405,15.099,0.006,F,r,,,2010AJ....139..519C
SN2007on,54456.15405,17.214,0.039,F,u,,,2010AJ....139..519C
SN2007on,54457.12102,16.183,0.011,F,B,,,2010AJ....139..519C
SN2007on,54457.12102,14.854,0.011,F,H,,,2010AJ....139..519C
SN2007on,54457.12102,16.001,0.019,F,J,,,2010AJ....139..519C
SN2007on,54457.12102,17.689,0.050,F,K,,,2010AJ....139..519C
SN2007on,54457.12102,15.284,0.008,F,V,,,2010AJ....139..519C
SN2007on,54457.12102,14.444,0.013,F,Y,,,2010AJ....139..519C
SN2007on,54457.12102,15.769,0.008,F,g,,,2010AJ....139..519C
SN2007on,54457.12102,15.208,0.011,F,i,,,2010AJ....139..519C
SN2007on,54457.12102,15.139,0.007,F,r,,,2010AJ....139..519C
SN2007on,54457.12102,17.254,0.027,F,u,,,2010AJ....139..519C
SN2007on,54458.18471,16.213,0.011,F,B,,,2010AJ....139..519C
SN2007on,54458.18471,15.325,0.009,F,V,,,2010AJ....139..519C
SN2007on,54458.18471,15.802,0.008,F,g,,,2010AJ....139..519C
SN2007on,54458.18471,15.257,0.011,F,i,,,2010AJ....139..519C
SN2007on,54458.18471,15.186,0.007,F,r,,,2010AJ....139..519C
SN2007on,54458.18471,17.289,0.031,F,u,,,2010AJ....139..519C
SN2007on,54458.8101,17.350,0.077,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54458.8122,16.510,0.068,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54458.8135,16.225,0.059,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54458.8169,18.389,0.093,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
