Name,Band,Background,Background Error,Systematic Error
SDSS-II SN 13520,NUV,2.950528973750382e-17,9.437080881497466e-18,2.0653702816252674e-18
SDSS-II SN 13529,FUV,1.0615084387812903e-17,4.9402045003772036e-18,7.430559071469033e-19
SDSS-II SN 13529,NUV,1.6720202340308124e-17,1.8895708748149864e-17,7.857573944829232e-18
SDSS-II SN 13532,FUV,1.9830479654142693e-17,2.1527714300602008e-17,1.3881335757899886e-18
SDSS-II SN 13532,NUV,2.3937311004871683e-17,1.5151592602575263e-17,1.675611770341018e-18
SDSS-II SN 13590,FUV,-9.234973769591047e-19,6.596162070407367e-18,-6.464481638713734e-20
SDSS-II SN 13590,NUV,1.3045641058310459e-17,3.07456731934695e-18,9.131948740817323e-19
SDSS-II SN 13615,FUV,5.487187423298532e-18,1.3100568502412218e-18,7.210273319592407e-19
SDSS-II SN 13615,NUV,6.572877073466621e-18,2.585012730464726e-18,1.2962855419625835e-18
SDSS-II SN 13646,FUV,1.2300534837612573e-17,5.4495036636259904e-17,3.5170090231005864e-17
SDSS-II SN 13646,NUV,2.7263533099720413e-17,1.7487199810382506e-18,3.2030415174308895e-19
SDSS-II SN 13716,NUV,-1.090997089940004e-18,2.50945840565104e-17,1.0299862532179105e-17
SDSS-II SN 13729,FUV,3.4426311269207966e-17,2.9427305652326724e-17,2.409841788844558e-18
SDSS-II SN 13729,NUV,1.3623241025950787e-17,1.1275788468487805e-17,9.536268718165551e-19
SDSS-II SN 13731,FUV,2.5344305593950568e-17,2.957523511194003e-17,1.77410139157654e-18
SDSS-II SN 13731,NUV,5.9259065722184795e-18,1.1905944335091271e-17,4.148134600552936e-19
SDSS-II SN 13732,FUV,6.5272135530830156e-18,1.7695560146033913e-17,4.569049487158111e-19
SDSS-II SN 13732,NUV,1.1597647302783678e-17,1.0341136049560238e-18,1.2369642242623192e-18
SDSS-II SN 13734,FUV,1.1212787784301819e-17,1.5013032943039145e-17,2.5830343932618334e-18
SDSS-II SN 13734,NUV,9.21809697763535e-18,2.8690218449919625e-18,1.0826362925539113e-18
SDSS-II SN 13737,NUV,7.107017746645197e-18,2.7798160665913342e-18,4.974912422651638e-19
