name,objname,ra,dec,z,z_err,v_helio,v_helio_err,h_dist,h_dist_err,z_indep_dist,type,morph,a_v,a_k,posn_ref,z_ref,sep,offset,host,galex_ra,galex_dec,morph_ref
PS1-10io,PS1-10io,10h00m44.0150s,+03d24m14.310s,0.22,0.001,65954.35,299.7925,947.17,66.44,2.0,SN,,0.067,0.006999999999999999,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.0,,10h00m44.015s,3d24m14.31s,
PS1-10j,PS1-10j,10h49m14.2200s,+58d28m02.039s,0.436,0.001,130709.53,299.7925,1869.47,130.93,2.0,SN,,0.021,0.002,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.009059089749661287,,10h49m14.22s,58d28m02.04s,
PS1-10ka,ELAIS02(R) J161110.1+550718,16h11m10.104s,+55d07m18.37s,,,,,,,,G,,0.019,0.002,2004AJ....128....1F,,0.044000000000000004,,,16h11m10.31s,55d07m20.3s,
PS1-10m,PS1-10m,10h02m09.3931s,+01d53m57.008s,0.618,0.001,185271.765,299.7925,2651.73,185.67,2.0,SN,,0.053,0.006,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.03210159181648164,,10h02m09.393s,1d53m57.01s,
PS1-10o,PS1-10o,10h02m08.8219s,+02d43m06.830s,0.22,0.001,65954.35,299.7925,947.19,66.44,2.0,SN,,0.055,0.006,2014ApJ...795...44R,2014ApJ...795...44R,0.001,0.006856650323206889,,10h02m08.822s,2d43m06.83s,
PS1-10s,PS1-10s,09h55m57.2309s,+02d15m48.470s,0.101,0.001,30279.0425,299.7925,437.5,30.93,,SN,,0.06,0.006999999999999999,2014ApJ...795...44R,2014ApJ...795...44R,0.001,0.003147825830199527,,9h55m57.231s,2d15m48.47s,
PS1-11aac,SDSS J141511.69+541758.4,14h15m11.707s,+54d17m58.18s,0.6139399999999999,0.00013000000000000002,184055.50682799998,38.37344,2630.98,184.17,,G,,0.04,0.004,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.815,1068.0176340109044,,14h15m17.287s,54d17m56.14s,
PS1-11at,PS1-11at,10h01m53.0270s,+02d02m33.529s,0.32,0.001,95933.6,299.7925,1375.47,96.38,2.0,SN,,0.048,0.005,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.006648873338316913,,10h01m53.027s,2d02m33.53s,
PS1-11bg,,,,,,,,,,,,,,,,,0.0,,,10h03m58.861s,2d15m44.71s,
PS1-11bk,PS1-11bk,09h56m19.7609s,+01d24m34.081s,0.16,0.001,47966.8,299.7925,690.2,48.5,2.0,SN,,0.063,0.006999999999999999,2014ApJ...795...44R,2014ApJ...795...44R,0.001,0.005993213515941728,,9h56m19.761s,1d24m34.08s,
PS1-11fi,PS1-11fi,14h12m57.0701s,+52d44m37.190s,0.08199999999999999,0.001,24582.985,299.7925,352.92,25.07,2.0,SN,,0.028999999999999998,0.003,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.002555660738445029,,14h12m57.07s,52d44m37.19s,
PS1-11kk,PS1-11kk,16h10m49.2770s,+55d15m05.310s,0.3,0.01,89937.75,2997.925,1285.09,99.63,,SN,,0.018000000000000002,0.002,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.0,,16h10m49.277s,55d15m05.31s,
PS1-11kl,SDSS J162120.06+550023.9,16h21m20.062s,+55d00m24.00s,,,,,,,,G,,0.026000000000000002,0.003,2007SDSS6.C...0000:,,0.076,,,16h21m20.254s,55d00m19.76s,
PS1-11uw,PS1-11uw,16h04m56.2869s,+54d52m41.300s,0.3,0.001,89937.75,299.7925,1285.17,90.06,2.0,SN,,0.027999999999999997,0.003,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.009349978909304573,,16h04m56.287s,54d52m41.3s,
PS1-11w,PS1-11w,10h54m43.7839s,+58d37m35.620s,0.174,0.001,52163.895,299.7925,747.38,52.49,2.0,SN,,0.023,0.003,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.005422987420602866,,10h54m43.784s,58d37m35.62s,
PS1-11yj,PS1-11yj,16h08m30.4689s,+53d41m07.170s,0.107,0.001,32077.7975,299.7925,458.59,32.39,,SN,,0.037000000000000005,0.004,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.003334825384468805,,16h08m30.469s,53d41m07.17s,
PS1-11yu,PS1-11yu,16h12m46.1789s,+54d52m25.399s,0.36,0.01,107925.3,2997.925,1542.04,116.13,,SN,,0.03,0.003,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.013484729734269198,,16h12m46.179s,54d52m25.4s,
PS1-11zu,PS1-11zu,16h06m28.1839s,+53d52m18.491s,0.36,0.001,107925.3,299.7925,1542.15,108.04,2.0,SN,,0.03,0.003,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.013484729734269198,,16h06m28.184s,53d52m18.49s,
