Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray,NUVexpt,FUVexpt
PSN J12533306+2742517,2013/03/03,19.2,,12:53:33.06,+27:42:51.7,0.092,Ia,1.0,1.0,,,110.0,110.0
PTF10xvh,2010/10/04,19.2,,04:28:52.12,-09:22:38.9,0.106,Ia,1.0,,,,375.0,375.0
PTF11bop,2011/03/15,19.2,,15:03:02.69,+31:31:54.5,0.11,Ia,1.0,,,,189.0,189.0
PTF11cmv,2011/04/27,19.2,,12:27:20.60,+12:58:18.6,0.128,Ia,1.0,,,,108.0,108.0
PTF11cnc,2011/04/27,19.2,PGC 2161840,12:39:01.25,+08:50:23.5,0.071,Ia,1.0,,,,95.0,95.0
PTF11rpj,2011/12/28,19.2,,08:49:39.21,+11:03:29.9,0.08,Ia,1.0,,,,1922.0,1922.0
PTF12bnb,2012/03/13,19.2,,12:30:56.74,+09:29:17.9,0.09,Ia,1.0,,,,116.0,116.0
PTF12cgc,2012/03/31,19.2,,13:25:01.19,+45:11:38.0,0.09,Ia,1.0,,,,158.0,158.0
PTF12fkj,2012/06/13,19.2,,16:44:40.06,+12:14:50.6,0.064,Ia,1.0,,,,218.0,218.0
PTF12fuu,2012/06/20,19.2,,15:04:40.39,+06:04:21.0,0.035,Ia,1.0,,,,4558.0,4558.0
PTF12lz,2012/01/06,19.2,,01:37:16.90,+30:07:14.3,0.07,Ia,1.0,,,,110.0,110.0
SN2010hk,2010/09/02,19.2,UGC 2802,03:37:52.61,+04:56:52.2,0.0321,Ia,1.0,,,,0.0,0.0
SN2011bw,2011/03/30,19.2,A153558+2118,15:35:58.75,+21:18:42.8,0.089,Ia,1.0,,,,108.0,108.0
SN2011ea,2011/07/01,19.2,A122736+0409,12:27:36.38,+04:09:49.5,"0.106,0.106",Ia,1.0,,,,0.0,0.0
SN2011gq,2011/09/26,19.2,2MASX J21422906-1606427,"21:42:28.44,21:42:28.4,21:42:28.32","-16:06:30.5,-16:06:31,-16:06:34.56",0.053,Ia,1.0,,,,381.0,270.0
SN2011ju,2011/12/25,19.2,A081043+4025,08:10:43.55,+40:25:29.6,"0.103,0.103",Ia,1.0,,,,1813.0,1813.0
SN2009ku,2009/09/22,19.21,A032953-2805,"03:29:53.232,03:29:53.23","-28:05:12.12,-28:05:12.2",0.079,Ia,42.0,,,,2045.0,344.0
